,x
0,8.418681144714355
1,10.419479370117188
2,10.260520935058594
3,10.037531852722168
4,8.335593223571777
5,10.396381378173828
6,8.921592712402344
7,11.0999174118042
8,10.762967109680176
9,11.175786972045898
10,9.282647132873535
11,10.327864646911621
12,10.914260864257812
13,10.061359405517578
14,9.800460815429688
15,9.50404167175293
16,9.688615798950195
17,12.375998497009277
18,9.236512184143066
19,8.635082244873047
20,10.971927642822266
21,11.301965713500977
22,11.884954452514648
23,9.641940116882324
24,9.17527961730957
25,7.453399658203125
26,10.735064506530762
27,8.859224319458008
28,11.495562553405762
29,10.135395050048828
30,10.519153594970703
31,10.574213027954102
32,8.852258682250977
33,10.170724868774414
34,10.878694534301758
35,10.02312183380127
36,10.695229530334473
37,8.276468276977539
38,8.421337127685547
39,10.910970687866211
40,9.601827621459961
41,10.80868911743164
42,9.742496490478516
43,10.700384140014648
44,9.490374565124512
45,9.950431823730469
46,10.004470825195312
47,10.247420310974121
48,11.91910457611084
49,10.838898658752441
50,9.324867248535156
51,9.252845764160156
52,10.5089750289917
53,10.749407768249512
54,10.346000671386719
55,8.476309776306152
56,9.698278427124023
57,9.15117073059082
58,10.70435905456543
59,8.790567398071289
60,10.888951301574707
61,10.963753700256348
62,8.135374069213867
63,11.214698791503906
64,10.22998046875
65,11.077545166015625
66,11.769354820251465
67,10.228266716003418
68,9.822195053100586
69,10.372027397155762
70,10.104344367980957
71,9.291292190551758
72,10.100560188293457
73,9.31623363494873
74,11.225502967834473
75,11.08389949798584
76,9.266634941101074
77,8.71826457977295
78,11.090811729431152
79,10.644389152526855
80,10.235319137573242
81,10.25193977355957
82,10.882176399230957
83,9.60490608215332
84,9.970849990844727
85,10.175005912780762
86,8.46622085571289
87,8.594549179077148
88,10.949129104614258
89,10.556662559509277
90,8.70904541015625
91,10.008575439453125
92,10.760078430175781
93,7.996646881103516
94,9.606576919555664
95,8.943798065185547
96,11.199922561645508
97,9.776214599609375
98,10.217740058898926
99,10.892190933227539
100,10.736320495605469
101,10.262166023254395
102,12.272969245910645
103,10.971516609191895
104,9.542403221130371
105,9.495914459228516
106,9.010229110717773
107,9.894767761230469
108,10.340774536132812
109,9.64205265045166
110,11.180388450622559
111,8.778732299804688
112,11.145866394042969
113,9.147529602050781
114,9.057744979858398
115,9.459633827209473
116,8.837679862976074
117,12.307397842407227
118,9.781905174255371
119,9.176603317260742
120,10.48168659210205
121,9.515506744384766
122,7.668715000152588
123,9.072433471679688
124,9.399415969848633
125,11.734621047973633
126,9.110079765319824
127,9.77479362487793
128,11.139719009399414
129,9.475509643554688
130,10.388187408447266
131,9.386030197143555
132,8.80543041229248
133,9.232810974121094
134,9.194437980651855
135,8.782222747802734
136,9.51794719696045
137,10.642958641052246
138,10.681716918945312
139,11.608843803405762
140,8.392793655395508
141,10.408568382263184
142,10.32459545135498
143,10.03836441040039
144,10.183305740356445
145,9.337393760681152
146,9.870563507080078
147,11.43773078918457
148,9.470885276794434
149,9.530637741088867
150,8.906861305236816
151,10.008132934570312
152,10.132883071899414
153,11.109590530395508
154,9.071881294250488
155,11.99277400970459
156,10.624637603759766
157,9.569421768188477
158,8.431830406188965
159,9.8643798828125
160,11.937252044677734
161,11.353086471557617
162,11.069828987121582
163,10.303305625915527
164,8.949771881103516
165,9.141735076904297
166,10.703927993774414
167,8.761120796203613
168,8.905518531799316
169,11.057547569274902
170,8.11876392364502
171,11.310991287231445
172,11.670539855957031
173,11.18991470336914
174,11.821250915527344
175,11.081514358520508
176,9.832653045654297
177,8.878142356872559
178,8.446799278259277
179,10.100931167602539
180,11.354486465454102
181,10.294658660888672
182,11.622157096862793
183,12.216658592224121
184,10.318089485168457
185,9.013080596923828
186,10.911341667175293
187,9.958122253417969
188,9.739177703857422
189,10.029496192932129
190,11.399568557739258
191,9.255013465881348
192,9.410242080688477
193,9.872963905334473
194,10.833261489868164
195,10.601466178894043
196,11.96692943572998
197,10.349414825439453
198,10.557024002075195
199,9.860014915466309
200,10.048018455505371
201,9.476425170898438
202,10.718154907226562
203,11.775421142578125
204,9.467050552368164
205,8.156583786010742
206,9.549430847167969
